book,mode,count,EDP,PF,CVaR95,Sharpe,Sortino,Omega1.0,MaxDrawdown,WinRate,Skewness,Kurtosis,TailHitRate,MeanGain,MeanLoss,TopKLossConcentration
CALLS_0DTE_11,no_kill,664,218.6129518072289,1.3043427212821228,-5545.121212121212,0.06488240131047021,0.08713633490747433,1.3027785344592755,58351.0,0.5918674698795181,3.959526638277801,30.31512183139994,0.04969879518072289,1582.9974554707378,-1759.9963099630995,0.05681830094410631
CALLS_0DTE_11,hybrid,6,669.1666666666666,9999.0,410.0,1.9929964255750623,,9999.0,0.0,1.0,2.0701470933278774,4.601274471036982,0.16666666666666666,669.1666666666666,,
CALLS_1DTE_1515,no_kill,656,-10.25,0.9569735595996827,-574.4375,-0.021478909293201353,-0.020668523694798012,0.952872660395793,15410.0,0.510670731707317,-0.033421639610525376,-1.9159253792329138,0.04878048780487805,446.42388059701494,-486.8411214953271,0.01155007806700965
CALLS_1DTE_1515,hybrid,4,16.25,1.068421052631579,-485.0,0.02864251489492301,0.034202947554882165,1.0640756302521008,950.0,0.5,-0.00047077561453531857,-5.990294279739098,0.25,507.5,-475.0,1.0
PUTS_0DTE_11,no_kill,664,-186.20481927710844,0.7834368798375951,-6631.363636363636,-0.04893551149782431,-0.0633870958379375,0.7823881908690012,147755.0,0.5481927710843374,6.632698414380055,85.89907760603664,0.04969879518072289,1228.7884615384614,-1903.0633333333333,0.05535811559958593
PUTS_0DTE_11,hybrid,6,381.6666666666667,9999.0,300.0,7.796154086745237,,9999.0,0.0,1.0,-0.576433667891703,1.8450376333998157,0.16666666666666666,381.6666666666667,,
PUTS_1DTE_1515,no_kill,656,18.890243902439025,1.0862268115841185,-624.21875,0.04008092005401865,0.03410148943921294,1.0815118871502094,10675.0,0.5960365853658537,-0.40925152943145315,-1.7645421998052089,0.053353658536585365,399.2480818414322,-542.3169811320755,0.013638198087868963
PUTS_1DTE_1515,hybrid,1,390.0,9999.0,390.0,,,9999.0,0.0,1.0,,,1.0,390.0,,
ALL,no_kill,2640,10.298106060606061,1.0201703727664726,-5084.098484848485,0.004001837951594737,0.005248160810909343,1.0181961045940586,152004.0,0.5617424242424243,7.580984978053315,126.6193805391827,0.05,927.2117329737019,-1164.9680207433016,0.024431175753115292
ALL,hybrid,17,397.6470588235294,8.115789473684211,-485.0,0.992750477020711,0.8369662460488813,8.082983193277311,950.0,0.8823529411764706,-0.5370892929122142,3.1489829325559833,0.058823529411764705,514.0,-475.0,1.0
