rank,feature,importance,method
1,movement,726.3165286461497,shap
2,Intraday_Move_OpenToEntry_1515,652.669173944211,shap
3,Intraday_Move_OpenToEntry_11,273.95194427427026,shap
4,gap,246.55139528805782,shap
5,VIX_Entry_11,238.90911601973352,shap
6,VIX_Entry_1515,175.86658429185889,shap
7,DoW,0.0,shap
8,L1_SPX_ATR_Pct,0.0,shap
9,L1_SPX_Drawdown_Pct,0.0,shap
10,L1_TS,0.0,shap
11,L1_VIX_Close,0.0,shap
12,L1_VIX_pct,0.0,shap
13,L1_rv20,0.0,shap
14,L1_rv5,0.0,shap
15,L1_vvix_above_ema20,0.0,shap
16,L1_vvix_above_ema30,0.0,shap
17,L1_vvix_close,0.0,shap
18,L1_vvix_ema20,0.0,shap
19,L1_vvix_ema30,0.0,shap
20,L1_vvix_pct,0.0,shap
21,closing_vix,0.0,shap
22,opening_vix,0.0,shap
23,t0_VIX_change_from_close_11,0.0,shap
24,t0_VIX_change_from_close_15,0.0,shap
