rank,feature,importance,method
1,VIX_Entry_1515,8.931327077422184,shap
2,gap,4.736814179523929,shap
3,Intraday_Move_OpenToEntry_11,4.5880657909946185,shap
4,VIX_Entry_11,4.5429834175473855,shap
5,Intraday_Move_OpenToEntry_1515,4.464744324235985,shap
6,DoW,0.0,shap
7,L1_SPX_ATR_Pct,0.0,shap
8,L1_SPX_Drawdown_Pct,0.0,shap
9,L1_TS,0.0,shap
10,L1_VIX_Close,0.0,shap
11,L1_VIX_pct,0.0,shap
12,L1_rv20,0.0,shap
13,L1_rv5,0.0,shap
14,L1_vvix_above_ema20,0.0,shap
15,L1_vvix_above_ema30,0.0,shap
16,L1_vvix_close,0.0,shap
17,L1_vvix_ema20,0.0,shap
18,L1_vvix_ema30,0.0,shap
19,L1_vvix_pct,0.0,shap
20,closing_vix,0.0,shap
21,movement,0.0,shap
22,opening_vix,0.0,shap
23,t0_VIX_change_from_close_11,0.0,shap
24,t0_VIX_change_from_close_15,0.0,shap
