feature,mean_abs_shap,expected_value
movement,726.3165286461497,-2132.9973930192505
Intraday_Move_OpenToEntry_1515,652.669173944211,-2132.9973930192505
Intraday_Move_OpenToEntry_11,273.95194427427026,-2132.9973930192505
gap,246.55139528805782,-2132.9973930192505
VIX_Entry_11,238.90911601973352,-2132.9973930192505
VIX_Entry_1515,175.86658429185889,-2132.9973930192505
DoW,0.0,-2132.9973930192505
L1_SPX_ATR_Pct,0.0,-2132.9973930192505
L1_SPX_Drawdown_Pct,0.0,-2132.9973930192505
L1_TS,0.0,-2132.9973930192505
L1_VIX_Close,0.0,-2132.9973930192505
L1_VIX_pct,0.0,-2132.9973930192505
L1_rv20,0.0,-2132.9973930192505
L1_rv5,0.0,-2132.9973930192505
L1_vvix_above_ema20,0.0,-2132.9973930192505
L1_vvix_above_ema30,0.0,-2132.9973930192505
L1_vvix_close,0.0,-2132.9973930192505
L1_vvix_ema20,0.0,-2132.9973930192505
L1_vvix_ema30,0.0,-2132.9973930192505
L1_vvix_pct,0.0,-2132.9973930192505
closing_vix,0.0,-2132.9973930192505
opening_vix,0.0,-2132.9973930192505
t0_VIX_change_from_close_11,0.0,-2132.9973930192505
t0_VIX_change_from_close_15,0.0,-2132.9973930192505
