feature,mean_abs_shap,expected_value
VIX_Entry_1515,8.931327077422184,-572.5996124111077
gap,4.736814179523929,-572.5996124111077
Intraday_Move_OpenToEntry_11,4.5880657909946185,-572.5996124111077
VIX_Entry_11,4.5429834175473855,-572.5996124111077
Intraday_Move_OpenToEntry_1515,4.464744324235985,-572.5996124111077
DoW,0.0,-572.5996124111077
L1_SPX_ATR_Pct,0.0,-572.5996124111077
L1_SPX_Drawdown_Pct,0.0,-572.5996124111077
L1_TS,0.0,-572.5996124111077
L1_VIX_Close,0.0,-572.5996124111077
L1_VIX_pct,0.0,-572.5996124111077
L1_rv20,0.0,-572.5996124111077
L1_rv5,0.0,-572.5996124111077
L1_vvix_above_ema20,0.0,-572.5996124111077
L1_vvix_above_ema30,0.0,-572.5996124111077
L1_vvix_close,0.0,-572.5996124111077
L1_vvix_ema20,0.0,-572.5996124111077
L1_vvix_ema30,0.0,-572.5996124111077
L1_vvix_pct,0.0,-572.5996124111077
closing_vix,0.0,-572.5996124111077
movement,0.0,-572.5996124111077
opening_vix,0.0,-572.5996124111077
t0_VIX_change_from_close_11,0.0,-572.5996124111077
t0_VIX_change_from_close_15,0.0,-572.5996124111077
