book,open_date,pnl,pnl_winsor,prediction
CALLS_1DTE_1515,2022-09-26,495.0,495.0,-540.6318808072429
CALLS_1DTE_1515,2022-09-27,-500.0,-500.0,-529.7144867712716
CALLS_1DTE_1515,2022-09-28,495.0,495.0,-537.5528157942364
CALLS_1DTE_1515,2022-09-29,495.0,495.0,-507.70405228041034
CALLS_1DTE_1515,2022-09-30,-505.0,-505.0,-544.5576068504604
CALLS_1DTE_1515,2022-10-03,-520.0,-520.0,-525.3754997741681
CALLS_1DTE_1515,2022-10-04,-348.0,-348.0,-508.9951607142706
CALLS_1DTE_1515,2022-10-05,495.0,495.0,-520.6684960767518
CALLS_1DTE_1515,2022-10-06,505.0,505.0,-534.8097471526855
CALLS_1DTE_1515,2022-10-07,485.0,485.0,-507.70405228041034
CALLS_1DTE_1515,2022-10-10,460.0,460.0,-519.764587995823
CALLS_1DTE_1515,2022-10-11,292.0,292.0,-537.3916062150732
CALLS_1DTE_1515,2022-10-12,-520.0,-520.0,-539.3099699738385
CALLS_1DTE_1515,2022-10-13,490.0,490.0,-527.71249318492
CALLS_1DTE_1515,2022-10-14,-515.0,-515.0,-513.8370129278036
CALLS_1DTE_1515,2022-10-17,-505.0,-505.0,-513.1848674165201
CALLS_1DTE_1515,2022-10-18,480.0,480.0,-519.7062074571977
CALLS_1DTE_1515,2022-10-19,475.0,475.0,-535.1108941803998
CALLS_1DTE_1515,2022-10-20,-550.0,-550.0,-549.9317156852426
CALLS_1DTE_1515,2022-10-21,-525.0,-525.0,-537.0843495297883
CALLS_1DTE_1515,2022-10-24,-540.0,-540.0,-540.0064001830679
CALLS_1DTE_1515,2022-10-25,480.0,480.0,-532.3654143763272
CALLS_1DTE_1515,2022-10-26,465.0,465.0,-530.4538198419119
CALLS_1DTE_1515,2022-10-27,-540.0,-540.0,-540.0061719658815
CALLS_1DTE_1515,2022-10-28,485.0,485.0,-532.1057213403892
CALLS_1DTE_1515,2022-10-31,460.0,460.0,-540.6762567459853
CALLS_1DTE_1515,2022-11-01,480.0,480.0,-512.3580259974324
CALLS_1DTE_1515,2022-11-02,480.0,480.0,-539.3576217291662
CALLS_1DTE_1515,2022-11-03,-535.0,-535.0,-536.2262900379811
CALLS_1DTE_1515,2022-11-04,-480.0,-480.0,-537.6216141042466
CALLS_1DTE_1515,2022-11-07,-545.0,-545.0,-544.6928180078282
CALLS_1DTE_1515,2022-11-08,460.0,460.0,-533.779148141527
CALLS_1DTE_1515,2022-11-09,-520.0,-520.0,-520.1395099802099
CALLS_1DTE_1515,2022-11-10,-505.0,-505.0,-525.3797453097056
CALLS_1DTE_1515,2022-11-11,495.0,495.0,-535.6583698590673
CALLS_1DTE_1515,2022-11-14,-193.0,-193.0,-535.7819139359256
CALLS_1DTE_1515,2022-11-15,510.0,510.0,-531.8815770223088
CALLS_1DTE_1515,2022-11-16,475.0,475.0,-535.204205413976
CALLS_1DTE_1515,2022-11-17,-540.0,-540.0,-541.6108962306687
CALLS_1DTE_1515,2022-11-18,475.0,475.0,-543.6481714696029
CALLS_1DTE_1515,2022-11-21,-560.0,-560.0,-560.0127600568904
CALLS_1DTE_1515,2022-11-22,-545.0,-545.0,-544.9997813153819
CALLS_1DTE_1515,2022-11-23,460.0,460.0,-529.8234417031796
CALLS_1DTE_1515,2022-11-28,465.0,465.0,-534.0972505615076
CALLS_1DTE_1515,2022-11-29,-510.0,-510.0,-535.9711834586415
CALLS_1DTE_1515,2022-11-30,-500.0,-500.0,-544.0496355148913
CALLS_1DTE_1515,2022-12-01,470.0,470.0,-545.2695663425346
CALLS_1DTE_1515,2022-12-02,450.0,450.0,-533.5899501904443
CALLS_1DTE_1515,2022-12-05,490.0,490.0,-534.7397974752938
CALLS_1DTE_1515,2022-12-06,48.0,48.0,-509.05458389113033
CALLS_1DTE_1515,2022-12-07,-530.0,-530.0,-552.2118947192749
CALLS_1DTE_1515,2022-12-08,485.0,485.0,-539.1785040626266
CALLS_1DTE_1515,2022-12-09,-555.0,-555.0,-555.014308175443
CALLS_1DTE_1515,2022-12-12,-500.0,-500.0,-539.564875657786
CALLS_1DTE_1515,2022-12-13,485.0,485.0,-513.7506855032657
CALLS_1DTE_1515,2022-12-14,470.0,470.0,-540.7014463820332
CALLS_1DTE_1515,2022-12-15,470.0,470.0,-509.9558125932571
CALLS_1DTE_1515,2022-12-16,450.0,450.0,-507.2535798094669
CALLS_1DTE_1515,2022-12-19,-520.0,-520.0,-521.0317346075276
CALLS_1DTE_1515,2022-12-20,-505.0,-505.0,-528.4737576254031
CALLS_1DTE_1515,2022-12-21,450.0,450.0,-518.5213298422282
CALLS_1DTE_1515,2022-12-22,-505.0,-505.0,-510.4191856141868
CALLS_1DTE_1515,2022-12-23,485.0,485.0,-539.1900479706165
CALLS_1DTE_1515,2022-12-27,450.0,450.0,-555.413555848411
CALLS_1DTE_1515,2022-12-28,-520.0,-520.0,-519.9317275498081
CALLS_1DTE_1515,2022-12-29,460.0,460.0,-513.5067617163652
CALLS_1DTE_1515,2022-12-30,71.0,71.0,-550.033574420773
CALLS_1DTE_1515,2023-01-03,-530.0,-530.0,-529.9852092110442
CALLS_1DTE_1515,2023-01-04,470.0,470.0,-552.8089567798047
CALLS_1DTE_1515,2023-01-05,-515.0,-515.0,-516.2264722878108
CALLS_1DTE_1515,2023-01-06,465.0,465.0,-542.4589010059177
CALLS_1DTE_1515,2023-01-09,-560.0,-560.0,-559.3773641238942
CALLS_1DTE_1515,2023-01-10,-545.0,-545.0,-544.9716009342591
CALLS_1DTE_1515,2023-01-11,-490.0,-490.0,-545.0443836075797
CALLS_1DTE_1515,2023-01-12,-545.0,-545.0,-544.9445609732934
CALLS_1DTE_1515,2023-01-13,383.0,383.0,-531.1413860083454
CALLS_1DTE_1515,2023-01-17,470.0,470.0,-540.3101621137073
CALLS_1DTE_1515,2023-01-18,485.0,485.0,-524.6513702721533
CALLS_1DTE_1515,2023-01-19,-540.0,-540.0,-542.2683617394302
CALLS_1DTE_1515,2023-01-20,-555.0,-555.0,-555.058561475503
CALLS_1DTE_1515,2023-01-23,250.0,250.0,-521.2156879278263
CALLS_1DTE_1515,2023-01-24,450.0,450.0,-535.5761330723869
CALLS_1DTE_1515,2023-01-25,-520.0,-520.0,-530.3997131463045
CALLS_1DTE_1515,2023-01-26,-540.0,-540.0,-539.9446457074746
CALLS_1DTE_1515,2023-01-27,435.0,435.0,-540.0755060826651
CALLS_1DTE_1515,2023-01-30,-565.0,-565.0,-562.8758954364399
CALLS_1DTE_1515,2023-01-31,-515.0,-515.0,-520.9207574576407
CALLS_1DTE_1515,2023-02-01,-515.0,-515.0,-540.8197819496571
