book,open_date,pnl,pnl_winsor,prediction
PUTS_0DTE_11,2022-09-26,-555.0,-555.0,-4766.790578655793
PUTS_0DTE_11,2022-09-27,-605.0,-605.0,-4507.085797556164
PUTS_0DTE_11,2022-09-28,3976.0,3976.0,-1959.702630338809
PUTS_0DTE_11,2022-09-29,440.0,440.0,-4657.818161949736
PUTS_0DTE_11,2022-09-30,-580.0,-580.0,-4999.58135939446
PUTS_0DTE_11,2022-10-03,375.0,375.0,-1518.185018858416
PUTS_0DTE_11,2022-10-04,400.0,400.0,-1601.5059991080025
PUTS_0DTE_11,2022-10-05,5545.0,5545.0,-6042.959829396647
PUTS_0DTE_11,2022-10-06,-595.0,-595.0,-5758.005110265322
PUTS_0DTE_11,2022-10-07,-570.0,-570.0,-4588.6148561981445
PUTS_0DTE_11,2022-10-10,189.0,189.0,-5045.811383087295
PUTS_0DTE_11,2022-10-11,420.0,420.0,-6074.885995383881
PUTS_0DTE_11,2022-10-12,-8360.0,-7217.25,-8225.64458793804
PUTS_0DTE_11,2022-10-13,405.0,405.0,-3066.1426700558986
PUTS_0DTE_11,2022-10-14,-550.0,-550.0,-5039.187482210565
PUTS_0DTE_11,2022-10-17,405.0,405.0,-3929.6338405511506
PUTS_0DTE_11,2022-10-18,-87.0,-87.0,-6786.236614182806
PUTS_0DTE_11,2022-10-19,-7215.0,-7215.0,-7633.293431261606
PUTS_0DTE_11,2022-10-20,-575.0,-575.0,-4637.152276710806
PUTS_0DTE_11,2022-10-21,445.0,445.0,-2124.701950983678
PUTS_0DTE_11,2022-10-24,405.0,405.0,-2827.2517377374243
PUTS_0DTE_11,2022-10-25,430.0,430.0,-2260.9351714077807
PUTS_0DTE_11,2022-10-26,-4490.0,-4490.0,-7044.2911232496
PUTS_0DTE_11,2022-10-27,-560.0,-560.0,-6093.207215097276
PUTS_0DTE_11,2022-10-28,375.0,375.0,-1864.6425305604137
PUTS_0DTE_11,2022-10-31,435.0,435.0,-6188.343741096209
PUTS_0DTE_11,2022-11-01,430.0,430.0,-5171.183294293215
PUTS_0DTE_11,2022-11-02,-7625.0,-7217.25,-7616.319654975614
PUTS_0DTE_11,2022-11-03,-570.0,-570.0,-3427.0058058867553
PUTS_0DTE_11,2022-11-04,-60.0,-60.0,-1361.604201225394
PUTS_0DTE_11,2022-11-07,420.0,420.0,-2233.134371305731
PUTS_0DTE_11,2022-11-08,-580.0,-580.0,-4266.660852508365
PUTS_0DTE_11,2022-11-09,-7290.0,-7217.25,-7333.637655524674
PUTS_0DTE_11,2022-11-10,350.0,350.0,173.13773607597258
PUTS_0DTE_11,2022-11-11,405.0,405.0,62.93682888054793
PUTS_0DTE_11,2022-11-14,-630.0,-630.0,-3607.226588009319
PUTS_0DTE_11,2022-11-15,-585.0,-585.0,-3428.363443246934
PUTS_0DTE_11,2022-11-16,-5204.0,-5204.0,-5458.565313939544
PUTS_0DTE_11,2022-11-17,425.0,425.0,-2124.8735093237487
PUTS_0DTE_11,2022-11-18,425.0,425.0,-2632.299233877517
PUTS_0DTE_11,2022-11-21,435.0,435.0,-1938.059307722312
PUTS_0DTE_11,2022-11-22,350.0,350.0,97.48106614331438
PUTS_0DTE_11,2022-11-23,-1354.0,-1354.0,-1893.81714258472
PUTS_0DTE_11,2022-11-25,-98.0,-98.0,-902.460523220649
PUTS_0DTE_11,2022-11-28,-610.0,-610.0,-3233.8722655418105
PUTS_0DTE_11,2022-11-29,-575.0,-575.0,-3798.624993510446
PUTS_0DTE_11,2022-11-30,1074.0,1074.0,-4842.58762382321
PUTS_0DTE_11,2022-12-01,72.0,72.0,-1916.6544896483865
PUTS_0DTE_11,2022-12-02,440.0,440.0,-1250.0766570980866
PUTS_0DTE_11,2022-12-05,-615.0,-615.0,-3255.7398636643497
PUTS_0DTE_11,2022-12-06,-590.0,-590.0,-1591.4659468910636
PUTS_0DTE_11,2022-12-07,4459.0,4459.0,-3638.031042856418
PUTS_0DTE_11,2022-12-08,-219.0,-219.0,-2265.101846560377
PUTS_0DTE_11,2022-12-09,-630.0,-630.0,-3270.822349484355
PUTS_0DTE_11,2022-12-12,325.0,325.0,214.79628618921097
PUTS_0DTE_11,2022-12-13,-560.0,-560.0,-4316.51112371181
PUTS_0DTE_11,2022-12-14,14935.0,10919.989999999993,-710.9068224010018
PUTS_0DTE_11,2022-12-15,-515.0,-515.0,-1817.5000905987663
PUTS_0DTE_11,2022-12-16,460.0,460.0,-1566.2728867493818
PUTS_0DTE_11,2022-12-19,-580.0,-580.0,-3603.5930425995766
PUTS_0DTE_11,2022-12-20,-433.0,-433.0,-432.7864656395401
PUTS_0DTE_11,2022-12-21,1531.0,1531.0,-1779.0903104813676
PUTS_0DTE_11,2022-12-22,475.0,475.0,-1604.7599176735882
PUTS_0DTE_11,2022-12-23,425.0,425.0,428.2446308027466
PUTS_0DTE_11,2022-12-27,-195.0,-195.0,-2179.5411080388085
PUTS_0DTE_11,2022-12-28,-5190.0,-5190.0,-5342.145387052503
PUTS_0DTE_11,2022-12-29,345.0,345.0,31.926987498353903
PUTS_0DTE_11,2022-12-30,400.0,400.0,-2612.979780991032
PUTS_0DTE_11,2023-01-03,-580.0,-580.0,-4014.580554414149
PUTS_0DTE_11,2023-01-04,-6200.0,-6200.0,-6225.5902470640185
PUTS_0DTE_11,2023-01-05,260.0,260.0,-1603.1847784492059
PUTS_0DTE_11,2023-01-06,370.0,370.0,-164.17246437824966
PUTS_0DTE_11,2023-01-09,-615.0,-615.0,-2928.4551945745175
PUTS_0DTE_11,2023-01-10,435.0,435.0,432.60188599160057
PUTS_0DTE_11,2023-01-11,-5830.0,-5830.0,-5859.648401622323
PUTS_0DTE_11,2023-01-12,450.0,450.0,-2330.5604633078588
PUTS_0DTE_11,2023-01-13,355.0,355.0,-414.9363631087844
PUTS_0DTE_11,2023-01-17,-13.0,-13.0,-2616.498529664589
PUTS_0DTE_11,2023-01-18,-4250.0,-4250.0,-5158.025321170844
PUTS_0DTE_11,2023-01-19,380.0,380.0,-847.8980327738353
PUTS_0DTE_11,2023-01-20,410.0,410.0,149.88802339419487
PUTS_0DTE_11,2023-01-23,345.0,345.0,-2479.5747926084573
PUTS_0DTE_11,2023-01-24,350.0,350.0,-1148.289835455049
PUTS_0DTE_11,2023-01-25,-5640.0,-5640.0,-5764.747120260695
PUTS_0DTE_11,2023-01-26,415.0,415.0,-544.7557854025029
PUTS_0DTE_11,2023-01-27,440.0,440.0,247.79314035876178
PUTS_0DTE_11,2023-01-30,-620.0,-620.0,-1644.6985466329072
PUTS_0DTE_11,2023-01-31,375.0,375.0,155.48325342565067
PUTS_0DTE_11,2023-02-01,-4970.0,-4970.0,-5161.564568075761
PUTS_0DTE_11,2023-02-02,381.0,381.0,-1079.6920722452332
PUTS_0DTE_11,2023-02-03,-550.0,-550.0,-4506.517751867899
PUTS_0DTE_11,2023-02-06,28.0,28.0,-2076.118386562906
PUTS_0DTE_11,2023-02-07,470.0,470.0,58.08218820075914
PUTS_0DTE_11,2023-02-08,6056.0,6056.0,-4854.356820809554
PUTS_0DTE_11,2023-02-09,-595.0,-595.0,-990.3715640490879
PUTS_0DTE_11,2023-02-10,400.0,400.0,39.72450602820697
PUTS_0DTE_11,2023-02-13,410.0,410.0,-1811.1421880764158
PUTS_0DTE_11,2023-02-14,440.0,440.0,-378.4329738175183
PUTS_0DTE_11,2023-02-15,11611.0,10919.989999999993,-3131.39241365244
PUTS_0DTE_11,2023-02-16,-620.0,-620.0,-2585.548399537742
PUTS_0DTE_11,2023-02-17,425.0,425.0,-1313.2365159577644
PUTS_0DTE_11,2023-02-21,-580.0,-580.0,-1539.0134442424576
PUTS_0DTE_11,2023-02-22,-5025.0,-5025.0,-5037.54815137793
PUTS_0DTE_11,2023-02-23,445.0,445.0,-2065.6359000498624
PUTS_0DTE_11,2023-02-24,405.0,405.0,-2382.4548049166356
PUTS_0DTE_11,2023-02-27,-640.0,-640.0,-3038.745453896525
PUTS_0DTE_11,2023-02-28,-550.0,-550.0,-2147.270392784704
PUTS_0DTE_11,2023-03-01,4769.0,4769.0,-4022.889314688615
PUTS_0DTE_11,2023-03-02,365.0,365.0,18.26315682574645
PUTS_0DTE_11,2023-03-03,380.0,380.0,403.6108250596003
PUTS_0DTE_11,2023-03-06,-605.0,-605.0,-2272.251755983261
PUTS_0DTE_11,2023-03-07,-540.0,-540.0,-1258.9741468873888
PUTS_0DTE_11,2023-03-08,-2467.0,-2467.0,-3643.4721691379204
PUTS_0DTE_11,2023-03-09,-645.0,-645.0,-3008.6500161259705
PUTS_0DTE_11,2023-03-10,-570.0,-570.0,-3509.8107951815014
PUTS_0DTE_11,2023-03-13,-570.0,-570.0,-2510.867645387333
PUTS_0DTE_11,2023-03-14,-151.0,-151.0,-2689.870505594695
PUTS_0DTE_11,2023-03-15,-7505.0,-7217.25,-7455.080264498134
PUTS_0DTE_11,2023-03-16,390.0,390.0,-232.19363787915873
PUTS_0DTE_11,2023-03-17,139.0,139.0,-1785.4801764942258
PUTS_0DTE_11,2023-03-20,390.0,390.0,-1762.2137818171225
PUTS_0DTE_11,2023-03-21,430.0,430.0,-1476.4151999685519
PUTS_0DTE_11,2023-03-22,-5410.0,-5410.0,-5419.5310755218115
PUTS_0DTE_11,2023-03-23,-630.0,-630.0,-2332.5365186769773
PUTS_0DTE_11,2023-03-24,420.0,420.0,-1344.9788456516715
PUTS_0DTE_11,2023-03-27,178.0,178.0,-2158.4405941473133
PUTS_0DTE_11,2023-03-28,370.0,370.0,-2447.7270482879603
PUTS_0DTE_11,2023-03-29,-4480.0,-4480.0,-4473.369935183572
PUTS_0DTE_11,2023-03-30,340.0,340.0,-3494.163901270993
PUTS_0DTE_11,2023-03-31,345.0,345.0,128.31529022137144
PUTS_0DTE_11,2023-04-03,405.0,405.0,176.83156250868115
PUTS_0DTE_11,2023-04-04,-585.0,-585.0,-3268.1265158747124
PUTS_0DTE_11,2023-04-05,-4385.0,-4385.0,-4369.971866147555
PUTS_0DTE_11,2023-04-06,340.0,340.0,283.85228393455986
PUTS_0DTE_11,2023-04-10,400.0,400.0,-647.467302087683
PUTS_0DTE_11,2023-04-11,355.0,355.0,351.65552201491107
PUTS_0DTE_11,2023-04-12,-4155.0,-4155.0,-4575.7252490327355
PUTS_0DTE_11,2023-04-13,360.0,360.0,232.68218281362311
PUTS_0DTE_11,2023-04-14,400.0,400.0,-740.867745824573
PUTS_0DTE_11,2023-04-17,355.0,355.0,133.10452666567994
PUTS_0DTE_11,2023-04-18,385.0,385.0,-1354.480148328393
PUTS_0DTE_11,2023-04-19,-3610.0,-3610.0,-3607.0120339870136
PUTS_0DTE_11,2023-04-20,-615.0,-615.0,-964.3235220959832
PUTS_0DTE_11,2023-04-21,375.0,375.0,-666.0604012228282
PUTS_0DTE_11,2023-04-24,420.0,420.0,-323.0937846103403
PUTS_0DTE_11,2023-04-25,-625.0,-625.0,-1722.4423841030277
PUTS_0DTE_11,2023-04-26,-5110.0,-5110.0,-5254.496675381357
PUTS_0DTE_11,2023-04-27,375.0,375.0,-10.912123240235786
PUTS_0DTE_11,2023-04-28,420.0,420.0,-419.7496476165402
PUTS_0DTE_11,2023-05-01,-665.0,-665.0,-1743.7589613870857
PUTS_0DTE_11,2023-05-02,390.0,390.0,-1591.260857218709
PUTS_0DTE_11,2023-05-03,-4655.0,-4655.0,-4658.086772351849
PUTS_0DTE_11,2023-05-04,420.0,420.0,-3879.7540629285345
PUTS_0DTE_11,2023-05-05,340.0,340.0,-823.237887278325
PUTS_0DTE_11,2023-05-08,390.0,390.0,-936.4767820051375
PUTS_0DTE_11,2023-05-09,-198.0,-198.0,-1897.157605832344
PUTS_0DTE_11,2023-05-10,-3760.0,-3760.0,-3754.12203885279
PUTS_0DTE_11,2023-05-11,435.0,435.0,-1274.9441957878803
PUTS_0DTE_11,2023-05-12,318.0,318.0,-1536.0354162033511
PUTS_0DTE_11,2023-05-15,300.0,300.0,-1205.2272677311328
PUTS_0DTE_11,2023-05-16,-685.0,-685.0,-1982.9007021187185
PUTS_0DTE_11,2023-05-17,-3700.0,-3700.0,-5121.2437168649985
PUTS_0DTE_11,2023-05-18,405.0,405.0,-1054.7348884167222
PUTS_0DTE_11,2023-05-19,-620.0,-620.0,-2183.3694081928
PUTS_0DTE_11,2023-05-22,310.0,310.0,121.67039004614867
PUTS_0DTE_11,2023-05-23,-620.0,-620.0,-861.8346661644244
PUTS_0DTE_11,2023-05-24,-4820.0,-4820.0,-4797.3373468963
PUTS_0DTE_11,2023-05-25,445.0,445.0,-1632.9366957153316
PUTS_0DTE_11,2023-05-26,390.0,390.0,-1079.059514616729
PUTS_0DTE_11,2023-05-30,-98.0,-98.0,-2155.7419013230237
PUTS_0DTE_11,2023-05-31,-3725.0,-3725.0,-3726.55441901093
PUTS_0DTE_11,2023-06-01,325.0,325.0,-143.00747724847454
PUTS_0DTE_11,2023-06-02,325.0,325.0,-277.80333535311297
PUTS_0DTE_11,2023-06-05,-590.0,-590.0,-744.52944851451
PUTS_0DTE_11,2023-06-06,285.0,285.0,-1302.29028334819
PUTS_0DTE_11,2023-06-07,-3355.0,-3355.0,-3354.896210567989
