"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6715 C STO 0.75 | 1 Sep 23 6725 C BTO 0.35",40,6656.92,"2025-09-23","16:00:00",0,"Expired",40,1,20929,960,"",2.14,1,16.12,16.71,-1.31,-3.37,100,0
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6700 C STO 0.60 | 1 Sep 22 6710 C BTO 0.30",30,6693.75,"2025-09-22","16:00:00",0,"Expired",30,1,20889,970,"",2,1,15.82,16.04,-10.08,22.51,100,-583.33
"2025-09-19","11:00:00",6642.23,"1 Sep 19 6665 C STO 1.05 | 1 Sep 19 6675 C BTO 0.45",60,6664.36,"2025-09-19","16:00:00",0,"Expired",60,1,20859,940,"",2.33,9,15.84,15.49,15.15,-4.88,100,-783.33
"2025-09-18","11:00:00",6636.25,"1 Sep 18 6665 C STO 1.05 | 1 Sep 18 6675 C BTO 0.45",60,6631.96,"2025-09-18","16:00:00",0,"Expired",60,1,20799,940,"",2.33,1,15.67,15.77,26.5,9.4,100,-116.67
"2025-09-17","11:00:00",6600.58,"1 Sep 17 6675 C STO 2.70 | 1 Sep 17 6685 C BTO 2.05",65,6600.35,"2025-09-17","16:00:00",0,"Expired",65,1,20739,935,"",1.32,1,16.38,15.7,-1.89,-4.29,100,-76.92
"2025-09-16","11:00:00",6606.6,"1 Sep 16 6630 C STO 0.70 | 1 Sep 16 6640 C BTO 0.30",40,6606.76,"2025-09-16","16:00:00",0,"Expired",40,1,20674,960,"",2.33,1,16.13,16.35,8.85,-17.53,100,0
"2025-09-15","11:00:00",6618.65,"1 Sep 15 6635 C STO 0.90 | 1 Sep 15 6645 C BTO 0.35",55,6615.28,"2025-09-15","16:00:00",0,"Expired",55,1,20634,945,"",2.57,1,15.25,15.59,19.2,15.16,100,0
"2025-09-12","11:00:00",6593.27,"1 Sep 12 6615 C STO 0.55 | 1 Sep 12 6625 C BTO 0.25",30,6584.29,"2025-09-12","16:00:00",0,"Expired",30,1,20579,970,"",2.2,1,14.6,14.76,3.19,2.61,100,0
"2025-09-11","11:00:00",6576.79,"1 Sep 11 6600 C STO 0.80 | 1 Sep 11 6610 C BTO 0.30",50,6587.47,"2025-09-11","16:00:00",0,"Expired",50,1,20549,950,"",2.67,1,14.9,14.7,22.37,22.38,100,-180
"2025-09-10","11:00:00",6544.18,"1 Sep 10 6570 C STO 0.65 | 1 Sep 10 6580 C BTO 0.30",35,6532.04,"2025-09-10","16:00:00",0,"Expired",35,1,20499,965,"",2.17,1,14.82,15.33,37.68,-6.11,100,-14.29
"2025-09-09","11:00:00",6493.54,"1 Sep 9 6515 C STO 0.95 | 1 Sep 9 6525 C BTO 0.35",60,6512.61,"2025-09-09","16:00:00",0,"Expired",60,1,20464,940,"",2.71,4,15.51,15.13,8.18,-9.79,100,-500
"2025-09-08","11:00:00",6503.9,"1 Sep 8 6525 C STO 0.80 | 1 Sep 8 6535 C BTO 0.30",50,6495.15,"2025-09-08","16:00:00",0,"Expired",50,1,20404,950,"",2.67,1,15.1,15.18,16.59,5.81,100,-30
"2025-09-05","11:00:00",6452.4,"1 Sep 5 6500 C STO 1.85 | 1 Sep 5 6510 C BTO 1.20",65,6481.5,"2025-09-05","16:00:00",0,"Expired",65,1,20354,935,"",1.54,1,16.57,15.18,27,-76.68,100,-115.38
"2025-09-04","11:00:00",6467.19,"1 Sep 4 6490 C STO 0.70 | 1 Sep 4 6500 C BTO 0.30",40,6502.08,"2025-09-04","16:00:00",1000,"Expired",-960,1,20289,960,"",2.33,6.541,15.7,15.41,8.34,10.59,50,-2400
"2025-09-03","11:00:00",6451.46,"1 Sep 3 6475 C STO 0.70 | 1 Sep 3 6485 C BTO 0.30",40,6448.26,"2025-09-03","16:00:00",0,"Expired",40,1,21249,960,"",2.33,1,16.51,16.48,30.28,5.64,100,-12.5
"2025-09-02","11:00:00",6388.21,"1 Sep 2 6425 C STO 1.45 | 1 Sep 2 6435 C BTO 0.75",70,6415.54,"2025-09-02","16:00:00",0,"Expired",70,1,21209,930,"",1.93,1,18.44,17.46,-58.75,-13.3,100,-14.29
"2025-08-29","11:00:00",6450.6,"1 Aug 29 6485 C STO 1.55 | 1 Aug 29 6495 C BTO 0.80",75,6460.26,"2025-08-29","16:00:00",0,"Expired",75,1,21139,925,"",1.94,1,15.61,15.29,-12.58,-38.68,100,-60
"2025-08-28","11:00:00",6483.07,"1 Aug 28 6510 C STO 0.75 | 1 Aug 28 6520 C BTO 0.35",40,6501.86,"2025-08-28","16:00:00",0,"Expired",40,1,21064,960,"",2.14,1,14.26,14.33,2.44,-0.77,100,-250
"2025-08-27","11:00:00",6475.56,"1 Aug 27 6495 C STO 0.55 | 1 Aug 27 6505 C BTO 0.25",30,6481.4,"2025-08-27","16:00:00",0,"Expired",30,1,21024,970,"",2.2,1,14.88,14.93,-3.68,13.3,100,-150
"2025-08-26","11:00:00",6441.02,"1 Aug 26 6460 C STO 0.85 | 1 Aug 26 6470 C BTO 0.30",55,6465.94,"2025-08-26","16:00:00",594,"Expired",-539,1,20994,945,"",2.83,124,14.96,14.81,-3.83,5.53,81.82,-1245.45
"2025-08-25","11:00:00",6458.06,"1 Aug 25 6480 C STO 0.70 | 1 Aug 25 6490 C BTO 0.35",35,6439.32,"2025-08-25","16:00:00",0,"Expired",35,1,21533,965,"",2,1,14.44,14.86,-9.24,0.39,100,-71.43
"2025-08-22","11:00:00",6471.24,"1 Aug 22 6500 C STO 1.35 | 1 Aug 22 6510 C BTO 0.65",70,6466.91,"2025-08-22","16:00:00",0,"Expired",70,1,21498,930,"",2.08,1,14.61,14.24,14.42,86.65,100,-28.57
"2025-08-21","11:00:00",6385.46,"1 Aug 21 6420 C STO 1.00 | 1 Aug 21 6430 C BTO 0.45",55,6370.17,"2025-08-21","16:00:00",0,"Expired",55,1,21428,945,"",2.22,1,16.09,16.72,-14.95,4.63,100,-9.09
"2025-08-20","11:00:00",6347.99,"1 Aug 20 6390 C STO 1.25 | 1 Aug 20 6400 C BTO 0.75",50,6395.78,"2025-08-20","16:00:00",578,"Expired",-528,1,21373,950,"",1.67,123,17.13,15.73,-4.75,-58.63,10,-1770
"2025-08-19","11:00:00",6427.51,"1 Aug 19 6455 C STO 1.00 | 1 Aug 19 6465 C BTO 0.45",55,6411.37,"2025-08-19","16:00:00",0,"Expired",55,1,21901,945,"",2.22,1,15.29,15.56,-2.91,-18.73,100,-9.09
