"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2025-09-23","15:15:00",6649.02,"1 Sep 23 6665 C STO 0.40 | 1 Sep 23 6675 C BTO 0.15",25,6656.92,"2025-09-23","16:00:00",0,"Expired",25,1,22827,975,"",2.67,1,17.04,16.71,-1.31,-43.42,100,-140
"2025-09-22","15:15:00",6697.77,"1 Sep 22 6710 C STO 0.35 | 1 Sep 22 6720 C BTO 0.15",20,6693.75,"2025-09-22","16:00:00",0,"Expired",20,1,22802,980,"",2.33,1,15.95,16.04,-10.08,43.49,100,0
"2025-09-19","15:15:00",6660.31,"1 Sep 19 6675 C STO 0.45 | 1 Sep 19 6685 C BTO 0.20",25,6664.36,"2025-09-19","16:00:00",0,"Expired",25,1,22782,975,"",2.25,1,15.65,15.49,15.15,13.2,100,-240
"2025-09-18","15:15:00",6639.64,"1 Sep 18 6650 C STO 0.60 | 1 Sep 18 6660 C BTO 0.15",45,6631.96,"2025-09-18","16:00:00",0,"Expired",45,1,22757,955,"",4,1,15.54,15.77,26.5,12.79,100,0
"2025-09-17","15:15:00",6588.88,"1 Sep 17 6625 C STO 1.55 | 1 Sep 17 6635 C BTO 0.80",75,6600.35,"2025-09-17","16:00:00",0,"Expired",75,1,22712,925,"",1.94,1,15.61,15.7,-1.89,-15.99,100,-160
"2025-09-16","15:15:00",6614.41,"1 Sep 16 6625 C STO 0.35 | 1 Sep 16 6635 C BTO 0.10",25,6606.76,"2025-09-16","16:00:00",0,"Expired",25,1,22637,975,"",3.5,1,16.04,16.35,8.85,-9.72,100,0
"2025-09-15","15:15:00",6607.85,"1 Sep 15 6620 C STO 0.30 | 1 Sep 15 6630 C BTO 0.10",20,6615.28,"2025-09-15","16:00:00",0,"Expired",20,1,22612,980,"",3,2,15.76,15.59,19.2,4.36,100,-50
"2025-09-12","15:15:00",6595.63,"1 Sep 12 6605 C STO 0.45 | 1 Sep 12 6615 C BTO 0.15",30,6584.29,"2025-09-12","16:00:00",0,"Expired",30,1,22592,970,"",3,1,14.62,14.76,3.19,4.97,100,0
"2025-09-11","15:15:00",6585.36,"1 Sep 11 6595 C STO 0.55 | 1 Sep 11 6605 C BTO 0.15",40,6587.47,"2025-09-11","16:00:00",0,"Expired",40,1,22562,960,"",3.67,1,14.73,14.7,22.37,30.95,100,-237.5
"2025-09-10","15:15:00",6518.36,"1 Sep 10 6535 C STO 0.50 | 1 Sep 10 6545 C BTO 0.15",35,6532.04,"2025-09-10","16:00:00",0,"Expired",35,1,22522,965,"",3.33,1,15.39,15.33,37.68,-31.93,100,-371.43
"2025-09-09","15:15:00",6505.44,"1 Sep 9 6515 C STO 0.35 | 1 Sep 9 6525 C BTO 0.10",25,6512.61,"2025-09-09","16:00:00",0,"Expired",25,1,22487,975,"",3.5,4,15.19,15.13,8.18,2.11,100,-1340
"2025-09-08","15:15:00",6485.96,"1 Sep 8 6500 C STO 0.35 | 1 Sep 8 6510 C BTO 0.10",25,6495.15,"2025-09-08","16:00:00",0,"Expired",25,1,22462,975,"",3.5,1,15.41,15.18,16.59,-12.13,100,-160
"2025-09-05","15:15:00",6477.74,"1 Sep 5 6495 C STO 0.75 | 1 Sep 5 6505 C BTO 0.35",40,6481.5,"2025-09-05","16:00:00",0,"Expired",40,1,22437,960,"",2.14,1,15.39,15.18,27,-51.34,100,-150
"2025-09-04","15:15:00",6492.9,"1 Sep 4 6505 C STO 0.65 | 1 Sep 4 6515 C BTO 0.25",40,6502.08,"2025-09-04","16:00:00",0,"Expired",40,1,22397,960,"",2.6,1,15.58,15.41,8.34,36.3,100,0
