"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6660 P STO 1.15 | 1 Sep 23 6650 P BTO 0.75",40,6656.92,"2025-09-23","16:00:00",308,"Expired",-268,1,179526,960,"0dte_put_spread_10delta_10_pts_1100",1.53,58,-1.31,-3.37,12.5,-1775
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6665 P STO 1.55 | 1 Sep 23 6655 P BTO 0.90",65,6656.92,"2025-09-23","16:00:00",808,"Expired",-743,1,179794,935,"0dte_put_spread_12delta_10_pts_1100",1.72,161,-1.31,-3.37,23.08,-1238.46
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6665 P STO 1.55 | 1 Sep 23 6655 P BTO 0.90",65,6656.92,"2025-09-23","16:00:00",808,"Expired",-743,1,180537,935,"0dte_put_spread_14delta_10_pts_1100",1.72,161,-1.31,-3.37,23.08,-1238.46
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6665 P STO 1.55 | 1 Sep 23 6655 P BTO 0.90",65,6656.92,"2025-09-23","16:00:00",808,"Expired",-743,1,181280,935,"0dte_put_spread_15delta_10_pts_1100",1.72,161,-1.31,-3.37,23.08,-1238.46
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6670 P STO 2.05 | 1 Sep 23 6660 P BTO 1.15",90,6656.92,"2025-09-23","16:00:00",1000,"Expired",-910,1,182023,910,"0dte_put_spread_16delta_10_pts_1100 ",1.78,4.431,-1.31,-3.37,16.67,-1011.11
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6670 P STO 2.05 | 1 Sep 23 6660 P BTO 1.15",90,6656.92,"2025-09-23","16:00:00",1000,"Expired",-910,1,182933,910,"0dte_put_spread_18delta_10_pts_1100",1.78,4.431,-1.31,-3.37,16.67,-1011.11
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6670 P STO 2.05 | 1 Sep 23 6660 P BTO 1.15",90,6656.92,"2025-09-23","16:00:00",1000,"Expired",-910,1,183843,910,"0dte_put_spread_20delta_10_pts_1100",1.78,4.431,-1.31,-3.37,16.67,-1011.11
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6680 P STO 3.85 | 1 Sep 23 6670 P BTO 2.05",180,6656.92,"2025-09-23","16:00:00",1000,"Expired",-820,1,184753,820,"0dte_put_spread_25delta_10_pts_1100",1.88,1.763,-1.31,-3.37,8.33,-458.33
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6680 P STO 3.85 | 1 Sep 23 6670 P BTO 2.05",180,6656.92,"2025-09-23","16:00:00",1000,"Expired",-820,1,185573,820,"0dte_put_spread_30delta__10_pts_1100",1.88,1.763,-1.31,-3.37,8.33,-458.33
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6680 P STO 3.85 | 1 Sep 23 6670 P BTO 2.05",180,6656.92,"2025-09-23","16:00:00",1000,"Expired",-820,1,186393,820,"0dte_put_spread_35delta_10_pts_1100",1.88,1.763,-1.31,-3.37,8.33,-458.33
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6685 P STO 5.35 | 1 Sep 23 6675 P BTO 2.80",255,6656.92,"2025-09-23","16:00:00",1000,"Expired",-745,1,187213,745,"0dte_put_spread_40delta_10_pts_1100",1.91,1.562,-1.31,-3.37,7.84,-305.88
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6685 P STO 5.35 | 1 Sep 23 6675 P BTO 2.80",255,6656.92,"2025-09-23","16:00:00",1000,"Expired",-745,1,187958,745,"0dte_put_spread_45delta_10_pts_1100",1.91,1.562,-1.31,-3.37,7.84,-305.88
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6690 P STO 7.40 | 1 Sep 23 6680 P BTO 3.85",355,6656.92,"2025-09-23","16:00:00",1000,"Expired",-645,1,188703,645,"0dte_put_spread_50delta_10_pts_1100 ",1.92,1.446,-1.31,-3.37,7.04,-185.92
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6650 P STO 0.75 | 1 Sep 23 6640 P BTO 0.50",25,6656.92,"2025-09-23","16:00:00",0,"Expired",25,1,189348,975,"0dte_put_spread_6delta_10_pts_1100",1.5,1,-1.31,-3.37,100,-1580
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6655 P STO 0.90 | 1 Sep 23 6645 P BTO 0.60",30,6656.92,"2025-09-23","16:00:00",0,"Expired",30,1,189323,970,"0dte_put_spread_8delta_10_pts_1100",1.5,1,-1.31,-3.37,100,-1816.67
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6645 P STO 1.15 | 1 Sep 22 6635 P BTO 0.85",30,6693.75,"2025-09-22","16:00:00",0,"Expired",30,1,189293,970,"0dte_put_spread_10delta_10_pts_1100",1.35,1,-10.08,22.51,100,0
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6650 P STO 1.40 | 1 Sep 22 6640 P BTO 0.95",45,6693.75,"2025-09-22","16:00:00",0,"Expired",45,1,189263,955,"0dte_put_spread_12delta_10_pts_1100",1.47,1,-10.08,22.51,100,-11.11
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6655 P STO 1.75 | 1 Sep 22 6645 P BTO 1.15",60,6693.75,"2025-09-22","16:00:00",0,"Expired",60,1,189218,940,"0dte_put_spread_14delta_10_pts_1100",1.52,1,-10.08,22.51,100,-16.67
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6655 P STO 1.75 | 1 Sep 22 6645 P BTO 1.15",60,6693.75,"2025-09-22","16:00:00",0,"Expired",60,1,189158,940,"0dte_put_spread_15delta_10_pts_1100",1.52,1,-10.08,22.51,100,-16.67
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6655 P STO 1.75 | 1 Sep 22 6645 P BTO 1.15",60,6693.75,"2025-09-22","16:00:00",0,"Expired",60,1,189098,940,"0dte_put_spread_16delta_10_pts_1100 ",1.52,1,-10.08,22.51,100,-16.67
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6660 P STO 2.25 | 1 Sep 22 6650 P BTO 1.40",85,6693.75,"2025-09-22","16:00:00",0,"Expired",85,1,189038,915,"0dte_put_spread_18delta_10_pts_1100",1.61,1,-10.08,22.51,100,-35.29
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6660 P STO 2.25 | 1 Sep 22 6650 P BTO 1.40",85,6693.75,"2025-09-22","16:00:00",0,"Expired",85,1,188953,915,"0dte_put_spread_20delta_10_pts_1100",1.61,1,-10.08,22.51,100,-35.29
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6665 P STO 3.05 | 1 Sep 22 6655 P BTO 1.75",130,6693.75,"2025-09-22","16:00:00",0,"Expired",130,1,188868,870,"0dte_put_spread_25delta_10_pts_1100",1.74,1,-10.08,22.51,100,-38.46
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6665 P STO 3.05 | 1 Sep 22 6655 P BTO 1.75",130,6693.75,"2025-09-22","16:00:00",0,"Expired",130,1,188738,870,"0dte_put_spread_30delta__10_pts_1100",1.74,1,-10.08,22.51,100,-38.46
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6670 P STO 4.25 | 1 Sep 22 6660 P BTO 2.25",200,6693.75,"2025-09-22","16:00:00",0,"Expired",200,1,188608,800,"0dte_put_spread_35delta_10_pts_1100",1.89,1,-10.08,22.51,100,-37.5
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6670 P STO 4.25 | 1 Sep 22 6660 P BTO 2.25",200,6693.75,"2025-09-22","16:00:00",0,"Expired",200,1,188408,800,"0dte_put_spread_40delta_10_pts_1100",1.89,1,-10.08,22.51,100,-37.5
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6675 P STO 6.05 | 1 Sep 22 6665 P BTO 3.05",300,6693.75,"2025-09-22","16:00:00",0,"Expired",300,1,188208,700,"0dte_put_spread_45delta_10_pts_1100",1.98,1,-10.08,22.51,100,-38.33
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6675 P STO 6.05 | 1 Sep 22 6665 P BTO 3.05",300,6693.75,"2025-09-22","16:00:00",0,"Expired",300,1,187908,700,"0dte_put_spread_50delta_10_pts_1100 ",1.98,1,-10.08,22.51,100,-38.33
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6630 P STO 0.75 | 1 Sep 22 6620 P BTO 0.65",10,6693.75,"2025-09-22","16:00:00",0,"Expired",10,1,187608,990,"0dte_put_spread_6delta_10_pts_1100",1.15,1,-10.08,22.51,100,-50
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6640 P STO 0.95 | 1 Sep 22 6630 P BTO 0.75",20,6693.75,"2025-09-22","16:00:00",0,"Expired",20,1,187598,980,"0dte_put_spread_8delta_10_pts_1100",1.27,1,-10.08,22.51,100,-25
"2025-09-19","11:00:00",6642.23,"1 Sep 19 6605 P STO 1.25 | 1 Sep 19 6595 P BTO 0.90",35,6664.36,"2025-09-19","16:00:00",0,"Expired",35,1,187578,965,"0dte_put_spread_10delta_10_pts_1100",1.39,1,15.15,-4.88,100,-114.29
"2025-09-19","11:00:00",6642.23,"1 Sep 19 6610 P STO 1.55 | 1 Sep 19 6600 P BTO 1.05",50,6664.36,"2025-09-19","16:00:00",0,"Expired",50,1,187543,950,"0dte_put_spread_12delta_10_pts_1100",1.48,1,15.15,-4.88,100,-100
"2025-09-19","11:00:00",6642.23,"1 Sep 19 6615 P STO 1.90 | 1 Sep 19 6605 P BTO 1.25",65,6664.36,"2025-09-19","16:00:00",0,"Expired",65,1,187493,935,"0dte_put_spread_14delta_10_pts_1100",1.52,1,15.15,-4.88,100,-115.38
