"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6735 C STO 1.50 | 1 Sep 23 6745 C BTO 0.75",75,6656.92,"2025-09-23","16:00:00",0,"Expired",75,1,-97799,925,"1dte_call_spread_10delta_10pts_1515",2,1,-10.08,43.49,100,-6.67
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6735 C STO 1.50 | 1 Sep 23 6745 C BTO 0.75",75,6656.92,"2025-09-23","16:00:00",0,"Expired",75,1,-97874,925,"1dte_call_spread_12delta_10pts_1515",2,1,-10.08,43.49,100,-6.67
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6730 C STO 2.15 | 1 Sep 23 6740 C BTO 1.05",110,6656.92,"2025-09-23","16:00:00",0,"Expired",110,1,-97949,890,"1dte_call_spread_14delta_10pts_1515",2.05,1,-10.08,43.49,100,-4.55
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6730 C STO 2.15 | 1 Sep 23 6740 C BTO 1.05",110,6656.92,"2025-09-23","16:00:00",0,"Expired",110,1,-98059,890,"1dte_call_spread_16delta_10pts_1515 ",2.05,1,-10.08,43.49,100,-4.55
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6725 C STO 2.95 | 1 Sep 23 6735 C BTO 1.50",145,6656.92,"2025-09-23","16:00:00",0,"Expired",145,1,-98169,855,"1dte_call_spread_18delta_10pts_1515",1.97,1,-10.08,43.49,100,-13.79
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6725 C STO 2.95 | 1 Sep 23 6735 C BTO 1.50",145,6656.92,"2025-09-23","16:00:00",0,"Expired",145,1,-98314,855,"1dte_call_spread_20delta_10pts_1515",1.97,1,-10.08,43.49,100,-13.79
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6720 C STO 4.10 | 1 Sep 23 6730 C BTO 2.15",195,6656.92,"2025-09-23","16:00:00",0,"Expired",195,1,-98459,805,"1dte_call_spread_25delta_10pts_1515",1.91,1,-10.08,43.49,100,-12.82
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6715 C STO 5.50 | 1 Sep 23 6725 C BTO 2.95",255,6656.92,"2025-09-23","16:00:00",0,"Expired",255,1,-98654,745,"1dte_call_spread_30delta_10pts_1515",1.86,1,-10.08,43.49,100,-9.8
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6710 C STO 7.30 | 1 Sep 23 6720 C BTO 4.10",320,6656.92,"2025-09-23","16:00:00",0,"Expired",320,1,-98909,680,"1dte_call_spread_35delta_10pts_1515",1.78,1,-10.08,43.49,100,-9.38
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6705 C STO 9.50 | 1 Sep 23 6715 C BTO 5.50",400,6656.92,"2025-09-23","16:00:00",0,"Expired",400,1,-99229,600,"1dte_call_spread_40delta_10pts_1515",1.73,1,-10.08,43.49,100,-6.25
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6700 C STO 12.00 | 1 Sep 23 6710 C BTO 7.30",470,6656.92,"2025-09-23","16:00:00",0,"Expired",470,1,-99629,530,"1dte_call_spread_45delta_10pts_1515",1.64,1,-10.08,43.49,100,-4.26
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6700 C STO 12.00 | 1 Sep 23 6710 C BTO 7.30",470,6656.92,"2025-09-23","16:00:00",0,"Expired",470,1,-100099,530,"1dte_call_spread_50delta_10pts_1515",1.64,1,-10.08,43.49,100,-4.26
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6740 C STO 1.05 | 1 Sep 23 6750 C BTO 0.55",50,6656.92,"2025-09-23","16:00:00",0,"Expired",50,1,-100569,950,"1dte_call_spread_8delta_10pts_1515 ",1.91,1,-10.08,43.49,100,-20
"2025-09-19","15:15:00",6660.31,"1 Sep 22 6705 C STO 1.35 | 1 Sep 22 6715 C BTO 0.75",60,6693.75,"2025-09-22","16:00:00",0,"Expired",60,1,-100619,940,"1dte_call_spread_10delta_10pts_1515",1.8,1,15.15,13.2,100,-50
