"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Gap","Movement","Max Profit","Max Loss"
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6660 P STO 1.15 | 1 Sep 23 6715 C STO 0.75",190,6656.92,"2025-09-23","16:00:00",308,"Expired",-118,1,163542,131188.4,"0dte_strangle_10delta_1100",-1.31,-3.37,23.68,-773.68
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6665 P STO 1.55 | 1 Sep 23 6710 C STO 1.15",270,6656.92,"2025-09-23","16:00:00",808,"Expired",-538,1,163660,131688.4,"0dte_strangle_15delta_1100",-1.31,-3.37,22.22,-648.15
"2025-09-23","11:00:00",6689.07,"1 Sep 23 6670 P STO 2.05 | 1 Sep 23 6705 C STO 1.80",385,6656.92,"2025-09-23","16:00:00",1308,"Expired",-923,1,164198,132188.4,"0dte_strangle_20delta_1100 ",-1.31,-3.37,19.48,-529.87
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6635 P STO 2.35 | 1 Sep 23 6735 C STO 1.50",385,6656.92,"2025-09-23","16:00:00",0,"Expired",385,1,165121,130232.4,"1dte_strangle_10delta_1515",-10.08,43.49,100,-28.57
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6650 P STO 3.25 | 1 Sep 23 6730 C STO 2.15",540,6656.92,"2025-09-23","16:00:00",0,"Expired",540,1,164736,130732.4,"1dte_strangle_15delta_1515",-10.08,43.49,100,-98.15
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6665 P STO 4.75 | 1 Sep 23 6730 C STO 2.15",690,6656.92,"2025-09-23","16:00:00",808,"Expired",-118,1,164196,130678.4,"1dte_strangle_20delta_1515",-10.08,43.49,78.26,-192.75
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6645 P STO 1.15 | 1 Sep 22 6700 C STO 0.60",175,6693.75,"2025-09-22","16:00:00",0,"Expired",175,1,164314,131214.8,"0dte_strangle_10delta_1100",-10.08,22.51,100,-42.86
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6655 P STO 1.75 | 1 Sep 22 6695 C STO 0.95",270,6693.75,"2025-09-22","16:00:00",0,"Expired",270,1,164139,131714.8,"0dte_strangle_15delta_1100",-10.08,22.51,100,-96.3
"2025-09-22","11:00:00",6676.79,"1 Sep 22 6660 P STO 2.25 | 1 Sep 22 6690 C STO 1.65",390,6693.75,"2025-09-22","16:00:00",375,"Expired",15,1,163869,132214.8,"0dte_strangle_20delta_1100 ",-10.08,22.51,35.9,-135.9
"2025-09-19","11:00:00",6642.23,"1 Sep 19 6605 P STO 1.25 | 1 Sep 19 6665 C STO 1.05",230,6664.36,"2025-09-19","16:00:00",0,"Expired",230,1,163854,130567.6,"0dte_strangle_10delta_1100",15.15,-4.88,100,-163.04
